id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
FG57bgSm,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Home Connect Coffee Machine,Start coffee program,This action will start the selected coffee program with your preferred settings.,Appliance
FyGHvxUT,Button widget,Button press,This trigger fires every time you press the button.,Home Connect Oven,Preheat oven,This action will preheat your oven using the hot air program with the fast preheat option.,Appliance
GT6V7Kkn,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Home Connect Dishwasher,Start program,This action will start the selected dishwasher program.,Appliance
GTM4CEKX,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,Home Connect Coffee Machine,Turn on coffee machine,This action will turn on your coffee machine.,Appliance
JaYLqcTH,Location,You exit an area,This Trigger fires every time you exit an area you specify.,Home Connect Oven,Turn off oven,This action will turn off your oven.,Appliance
KasQZcLz,True Energy Smart Home Denmark,Electricity in Denmark is Cheap,This trigger fires at the hours where electricity in Denmark is cheap.,Home Connect Dishwasher,Turn on dishwasher,This action will turn on your dishwasher.,Appliance
LW9vRbTi,True Energy Smart Home Denmark,Electricity in Denmark is Cheap,This trigger fires at the hours where electricity in Denmark is cheap.,Home Connect Dishwasher,Turn on dishwasher,This action will turn on your dishwasher.,Appliance
Lw5WFKyZ,Home Connect Cookit,Cookit finished,This trigger fires every time your Cookit has finished successfully.,Home Connect Hood,Turn off hood,This action will turn off your hood.,Appliance
MbThmfDx,Flic,Flic is clicked,This Trigger fires every time you click the selected Flic.,Home Connect Coffee Machine,Turn on coffee machine,This action will turn on your coffee machine.,Appliance
NHDhRMia,Flic,Flic is clicked,This Trigger fires every time you click the selected Flic.,Home Connect Coffee Machine,Start coffee program,This action will start the selected coffee program with your preferred settings.,Appliance
PqLKAmB4,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Home Connect Hood,Turn on hood,This action will turn on your hood with the default program.,Appliance
QvmnUjSF,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",Home Connect Coffee Machine,Turn on coffee machine,This action will turn on your coffee machine.,Appliance
RmtdaY5L,True Energy Smart Home Norway,Electricity in Norway is Cheap,This trigger fires at the hours where electricity in Norway is cheap.,Home Connect Dishwasher,Turn on dishwasher,This action will turn on your dishwasher.,Appliance
RtEWH6si,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Home Connect Coffee Machine,Start coffee program,This action will start the selected coffee program with your preferred settings.,Appliance
SXmQdfMH,Button widget,Button press,This trigger fires every time you press the button.,Home Connect Hood,Start program,This action will start the selected hood program.,Appliance
SYcJQtSn,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Home Connect Fridge Freezer,Deactivate Eco mode,This action will deactivate Eco mode on your appliance.,Appliance
TMEsfTqG,True Energy Smart Home Denmark,Electricity in Denmark is Cheap,This trigger fires at the hours where electricity in Denmark is cheap.,Home Connect Dishwasher,Turn on dishwasher,This action will turn on your dishwasher.,Appliance
V7BGHJTN,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Home Connect Coffee Machine,Turn off coffee machine,This action will turn off your coffee machine.,Appliance
WXsPVUA9,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Home Connect Oven,Turn on oven,This action will turn on your oven.,Appliance
WniJDzGQ,Watts,Lowest CO2 intensity in the electricity,This trigger fires when the CO2 intensity in the electricity production is lowest between a starting time and a finish time and for a duration specified by you.,Home Connect Dishwasher,Start selected program,This action will start the dishwasher program that is currently selected on the appliance.,Appliance
Wwpvh2BS,Button widget,Button press,This trigger fires every time you press the button.,Home Connect Coffee Machine,Start coffee milk mix program,This action will start the selected coffee milk mix program with your preferred settings.,Appliance
XQbhXEyu,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Home Connect Oven,Preheat oven,This action will preheat your oven using the hot air program with the fast preheat option.,Appliance
